Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00   614990     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.14     0.00   614990     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
  0.00      0.14     0.00   608113     0.00     0.00  bool __gnu_cxx::operator!=<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00      0.14     0.00   597163     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr() const
  0.00      0.14     0.00   597163     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr() const
  0.00      0.14     0.00   597163     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_v() const
  0.00      0.14     0.00   597163     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr() const
  0.00      0.14     0.00   597027     0.00     0.00  std::pair<long long, int>::operator=(std::pair<long long, int>&&)
  0.00      0.14     0.00   594896     0.00     0.00  std::vector<std::vector<Edge, std::allocator<Edge> >, std::allocator<std::vector<Edge, std::allocator<Edge> > > >::operator[](unsigned long)
  0.00      0.14     0.00   587699     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator++()
  0.00      0.14     0.00   574516     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > >::base() const
  0.00      0.14     0.00   574476     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > >::__normal_iterator(std::tuple<int, int, int>* const&)
  0.00      0.14     0.00   574445     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.14     0.00   574436     0.00     0.00  Edge::Edge(int, long long)
  0.00      0.14     0.00   574436     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator-(long) const
  0.00      0.14     0.00   574436     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*)
  0.00      0.14     0.00   574436     0.00     0.00  std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*)
  0.00      0.14     0.00   574434     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::construct<Edge, int const&, int const&>(Edge*, int const&, int const&)
  0.00      0.14     0.00   574434     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::operator++()
  0.00      0.14     0.00   574434     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::operator*() const
  0.00      0.14     0.00   574434     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > >::operator*() const
  0.00      0.14     0.00   574434     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.14     0.00   574434     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>)
  0.00      0.14     0.00   574434     0.00     0.00  std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >::insert(int const&)
  0.00      0.14     0.00   574434     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::construct<Edge, int const&, int const&>(std::allocator<Edge>&, Edge*, int const&, int const&)
  0.00      0.14     0.00   574434     0.00     0.00  Edge& std::vector<Edge, std::allocator<Edge> >::emplace_back<int const&, int const&>(int const&, int const&)
  0.00      0.14     0.00   574434     0.00     0.00  std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::_AllocNode(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >&)
  0.00      0.14     0.00   574434     0.00     0.00  std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_conjure_hashtable()
  0.00      0.14     0.00   574434     0.00     0.00  std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(int const&)
  0.00      0.14     0.00   574434     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.14     0.00   556998     0.00     0.00  decltype ((((forward<std::pair<long long, int>&>)({parm#1}))>((forward<std::pair<long long, int>&>)({parm#2})))) std::greater<void>::operator()<std::pair<long long, int>&, std::pair<long long, int>&>(std::pair<long long, int>&, std::pair<long long, int>&) const
  0.00      0.14     0.00   556998     0.00     0.00  decltype(auto) std::greater<void>::_S_cmp<std::pair<long long, int>&, std::pair<long long, int>&>(std::pair<long long, int>&, std::pair<long long, int>&, std::integral_constant<bool, false>)
  0.00      0.14     0.00   556998     0.00     0.00  bool std::operator><long long, int>(std::pair<long long, int> const&, std::pair<long long, int> const&)
  0.00      0.14     0.00   556998     0.00     0.00  bool std::operator< <long long, int>(std::pair<long long, int> const&, std::pair<long long, int> const&)
  0.00      0.14     0.00   556607     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_eq() const
  0.00      0.14     0.00   556607     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<int, false> const&) const
  0.00      0.14     0.00   556607     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_M_cget() const
  0.00      0.14     0.00   556607     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.14     0.00   554435     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>, bool, true>(std::__detail::_Node_iterator<int, true, false>&&, bool&&)
  0.00      0.14     0.00   554435     0.00     0.00  std::__detail::_Node_iterator<int, true, false>&& std::forward<std::__detail::_Node_iterator<int, true, false> >(std::remove_reference<std::__detail::_Node_iterator<int, true, false> >::type&)
  0.00      0.14     0.00   524287     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, int> >::destroy<std::tuple<int, int, int> >(std::tuple<int, int, int>*)
  0.00      0.14     0.00   524287     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, int> >::construct<std::tuple<int, int, int>, std::tuple<int, int, int> >(std::tuple<int, int, int>*, std::tuple<int, int, int>&&)
  0.00      0.14     0.00   524287     0.00     0.00  std::_Tuple_impl<0ul, int, int, int>::_Tuple_impl(std::_Tuple_impl<0ul, int, int, int>&&)
  0.00      0.14     0.00   524287     0.00     0.00  std::_Tuple_impl<1ul, int, int>::_Tuple_impl(std::_Tuple_impl<1ul, int, int>&&)
  0.00      0.14     0.00   524287     0.00     0.00  std::_Tuple_impl<2ul, int>::_Tuple_impl(std::_Tuple_impl<2ul, int>&&)
  0.00      0.14     0.00   524287     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, int> > >::destroy<std::tuple<int, int, int> >(std::allocator<std::tuple<int, int, int> >&, std::tuple<int, int, int>*)
  0.00      0.14     0.00   524287     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, int> > >::construct<std::tuple<int, int, int>, std::tuple<int, int, int> >(std::allocator<std::tuple<int, int, int> >&, std::tuple<int, int, int>*, std::tuple<int, int, int>&&)
  0.00      0.14     0.00   524287     0.00     0.00  std::tuple<int, int, int>::tuple(std::tuple<int, int, int>&&)
  0.00      0.14     0.00   524287     0.00     0.00  void std::__relocate_object_a<std::tuple<int, int, int>, std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > >(std::tuple<int, int, int>*, std::tuple<int, int, int>*, std::allocator<std::tuple<int, int, int> >&)
  0.00      0.14     0.00   524287     0.00     0.00  std::remove_reference<std::tuple<int, int, int>&>::type&& std::move<std::tuple<int, int, int>&>(std::tuple<int, int, int>&)
