Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.12     0.00   574434     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.12     0.00   574434     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>)
  0.00      0.12     0.00   574434     0.00     0.00  std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >::insert(int const&)
  0.00      0.12     0.00   574434     0.00     0.00  std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::_AllocNode(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >&)
  0.00      0.12     0.00   574434     0.00     0.00  std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_conjure_hashtable()
  0.00      0.12     0.00   574434     0.00     0.00  std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(int const&)
  0.00      0.12     0.00   574434     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.12     0.00   556607     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_eq() const
  0.00      0.12     0.00   556607     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<int, false> const&) const
  0.00      0.12     0.00   556607     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_M_cget() const
  0.00      0.12     0.00   556607     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  0.00      0.12     0.00   556607     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.12     0.00   554435     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>, bool, true>(std::__detail::_Node_iterator<int, true, false>&&, bool&&)
  0.00      0.12     0.00   554435     0.00     0.00  std::__detail::_Node_iterator<int, true, false>&& std::forward<std::__detail::_Node_iterator<int, true, false> >(std::remove_reference<std::__detail::_Node_iterator<int, true, false> >::type&)
  0.00      0.12     0.00   552693     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator*() const
  0.00      0.12     0.00   536381     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator-(long) const
  0.00      0.12     0.00   524287     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, long long> >::destroy<std::tuple<int, int, long long> >(std::tuple<int, int, long long>*)
  0.00      0.12     0.00   524287     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, long long> >::construct<std::tuple<int, int, long long>, std::tuple<int, int, long long> >(std::tuple<int, int, long long>*, std::tuple<int, int, long long>&&)
  0.00      0.12     0.00   524287     0.00     0.00  std::_Tuple_impl<0ul, int, int, long long>::_Tuple_impl(std::_Tuple_impl<0ul, int, int, long long>&&)
  0.00      0.12     0.00   524287     0.00     0.00  std::_Tuple_impl<1ul, int, long long>::_Tuple_impl(std::_Tuple_impl<1ul, int, long long>&&)
  0.00      0.12     0.00   524287     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, long long> > >::destroy<std::tuple<int, int, long long> >(std::allocator<std::tuple<int, int, long long> >&, std::tuple<int, int, long long>*)
  0.00      0.12     0.00   524287     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, long long> > >::construct<std::tuple<int, int, long long>, std::tuple<int, int, long long> >(std::allocator<std::tuple<int, int, long long> >&, std::tuple<int, int, long long>*, std::tuple<int, int, long long>&&)
  0.00      0.12     0.00   524287     0.00     0.00  std::tuple<int, int, long long>::tuple(std::tuple<int, int, long long>&&)
  0.00      0.12     0.00   524287     0.00     0.00  void std::__relocate_object_a<std::tuple<int, int, long long>, std::tuple<int, int, long long>, std::allocator<std::tuple<int, int, long long> > >(std::tuple<int, int, long long>*, std::tuple<int, int, long long>*, std::allocator<std::tuple<int, int, long long> >&)
  0.00      0.12     0.00   524287     0.00     0.00  std::remove_reference<std::tuple<int, int, long long>&>::type&& std::move<std::tuple<int, int, long long>&>(std::tuple<int, int, long long>&)
  0.00      0.12     0.00   497870     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::back()
  0.00      0.12     0.00   490421     0.00     0.00  Edge::Edge(int, long long)
  0.00      0.12     0.00   479605     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::base() const
  0.00      0.12     0.00   460959     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::construct<Edge, int&, long long&>(Edge*, int&, long long&)
  0.00      0.12     0.00   458667     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::size() const
  0.00      0.12     0.00   451939     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::construct<Edge, int&, long long&>(std::allocator<Edge>&, Edge*, int&, long long&)
  0.00      0.12     0.00   403806     0.00     0.00  std::vector<std::vector<Edge, std::allocator<Edge> >, std::allocator<std::vector<Edge, std::allocator<Edge> > > >::operator[](unsigned long)
  0.00      0.12     0.00   366243     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::__normal_iterator(std::pair<long long, int>* const&)
